,ecli,drug,relevant_countries,volume,volume_type,general_drug_type,general_volume_type,countries_present,verdict_date
461,ECLI:NL:RBUTR:2009:BJ2151,hasjiesj,[],N/A,N/A,softdrugs,undefined,"{'Belgium': ['België'], 'Morocco': ['Marokko', 'Rabat'], 'Spain': ['Spanje', 'Malaga'], 'United Kingdom': ['Engeland']}",2009-09-07
462,ECLI:NL:GHDHA:2017:3418,hasj,"['Morocco', 'Netherlands']",24,kilogram,softdrugs,kg,"{'Morocco': ['Marokko'], 'Brazil': ['Brazilië']}",2017-11-16
463,ECLI:NL:GHDHA:2017:3418,drugs,"['Morocco', 'Netherlands']",N/A,N/A,unspecified,undefined,"{'Morocco': ['Marokko'], 'Brazil': ['Brazilië']}",2017-11-16
464,ECLI:NL:RBMNE:2017:5217,mdma,[],N/A,N/A,harddrugs,undefined,"{'Belgium': ['Leuven'], 'United States': ['USA', 'California'], 'United Kingdom': ['UK'], 'Australia': ['Australia', 'Australië'], 'Spain': ['Spanje'], 'Germany': ['Duitsland'], 'Brazil': ['Brazilië', 'Brazil'], 'France': ['France'], 'Kosovo': ['Kosovo'], 'Sweden': ['Sweden'], 'Italy': ['Italy'], 'Canada': ['Canada'], 'Switzerland': ['Switzerland']}",2017-10-17
465,ECLI:NL:RBMNE:2017:5217,xtc,[],N/A,N/A,harddrugs,undefined,"{'Belgium': ['Leuven'], 'United States': ['USA', 'California'], 'United Kingdom': ['UK'], 'Australia': ['Australia', 'Australië'], 'Spain': ['Spanje'], 'Germany': ['Duitsland'], 'Brazil': ['Brazilië', 'Brazil'], 'France': ['France'], 'Kosovo': ['Kosovo'], 'Sweden': ['Sweden'], 'Italy': ['Italy'], 'Canada': ['Canada'], 'Switzerland': ['Switzerland']}",2017-10-17
466,ECLI:NL:RBMNE:2017:5217,coke,[],N/A,N/A,harddrugs,undefined,"{'Belgium': ['Leuven'], 'United States': ['USA', 'California'], 'United Kingdom': ['UK'], 'Australia': ['Australia', 'Australië'], 'Spain': ['Spanje'], 'Germany': ['Duitsland'], 'Brazil': ['Brazilië', 'Brazil'], 'France': ['France'], 'Kosovo': ['Kosovo'], 'Sweden': ['Sweden'], 'Italy': ['Italy'], 'Canada': ['Canada'], 'Switzerland': ['Switzerland']}",2017-10-17
467,ECLI:NL:RBMNE:2017:5217,drugs,[],N/A,N/A,unspecified,undefined,"{'Belgium': ['Leuven'], 'United States': ['USA', 'California'], 'United Kingdom': ['UK'], 'Australia': ['Australia', 'Australië'], 'Spain': ['Spanje'], 'Germany': ['Duitsland'], 'Brazil': ['Brazilië', 'Brazil'], 'France': ['France'], 'Kosovo': ['Kosovo'], 'Sweden': ['Sweden'], 'Italy': ['Italy'], 'Canada': ['Canada'], 'Switzerland': ['Switzerland']}",2017-10-17
468,ECLI:NL:RBMNE:2017:5219,mdma,[],N/A,N/A,harddrugs,undefined,"{'Belgium': ['Leuven'], 'United States': ['Birmingham', 'USA', 'California'], 'United Kingdom': ['UK'], 'Australia': ['Australia', 'Australië'], 'Spain': ['Spanje'], 'Germany': ['Duitsland'], 'Brazil': ['Brazilië', 'Brazil'], 'France': ['France'], 'Kosovo': ['Kosovo'], 'Puerto Rico': ['Puerto'], 'Sweden': ['Sweden'], 'Italy': ['Italy'], 'Canada': ['Canada']}",2017-10-17
469,ECLI:NL:RBMNE:2017:5219,drugs,[],N/A,N/A,unspecified,undefined,"{'Belgium': ['Leuven'], 'United States': ['Birmingham', 'USA', 'California'], 'United Kingdom': ['UK'], 'Australia': ['Australia', 'Australië'], 'Spain': ['Spanje'], 'Germany': ['Duitsland'], 'Brazil': ['Brazilië', 'Brazil'], 'France': ['France'], 'Kosovo': ['Kosovo'], 'Puerto Rico': ['Puerto'], 'Sweden': ['Sweden'], 'Italy': ['Italy'], 'Canada': ['Canada']}",2017-10-17
470,ECLI:NL:RBNNE:2015:1505,heroïne,[],N/A,N/A,harddrugs,undefined,{'Canada': ['Rexton']},2015-06-03
471,ECLI:NL:RBNNE:2015:1505,cocaïne,[],N/A,N/A,harddrugs,undefined,{'Canada': ['Rexton']},2015-06-03
472,ECLI:NL:RBOVE:2020:2572,drugs,['Russia'],61,kilo,unspecified,kg,"{'United Kingdom': ['Rusland'], 'Germany': ['Berlijn', 'Hamburg', 'Duitsland'], 'Finland': ['Finland']}",2020-03-08
